\ N0=10.79
\ Y=18.03
\ i=54.45
\ q=1.917
\ sigma=42.44
\ tv=187.9
\ This is a dust torus emission obtained from the median parameter values of
\ best-fit CLUMPY models of PG quasars.
\ The wavelength is in the unit micron and the flux density (fnu) is normalised
\ to be integrated as 1.
\ The template is generated by SGJY at Mon May 29 20:35:29 2017 in KIAA-PKU.
|    wavelength|             flux|
|        double|           double|
|              |                 |
|          null|             null|
  10.9153593533 1.63280774718e-14 
  11.0164594963 1.65137792911e-14 
  11.1184960482  1.6742387754e-14 
  11.2214776821 1.69757303245e-14 
  11.3254131515 1.71969815744e-14 
  11.4303112911 1.73724109873e-14 
  11.5361810174 1.75343777816e-14 
  11.6430313292 1.76606225476e-14 
   11.750871309 1.77889100356e-14 
  11.8597101234 1.79106141552e-14 
  11.9695570236 1.80342604727e-14 
  12.0804213468  1.8243733354e-14 
  12.1923125165 1.84901193772e-14 
  12.3052400436 1.87466241761e-14 
   12.419213527 1.90139077944e-14 
  12.5342426546 1.92941096848e-14 
   12.650337204 1.95971096414e-14 
  12.7675070432  1.9907665962e-14 
  12.8857621319  2.0225541562e-14 
  13.0051125217  2.0553186949e-14 
  13.1255683577 2.09283289395e-14 
  13.2471398787 2.13138305838e-14 
  13.3698374182 2.16950419431e-14 
  13.4936714059 2.20862753474e-14 
  13.6186523676 2.24832291318e-14 
  13.7447909268 2.28908346583e-14 
  13.8720978054 2.32930934503e-14 
  14.0005838247 2.37053325604e-14 
   14.130259906 2.41005641614e-14 
  14.2611370719 2.45045925537e-14 
  14.3932264472 2.49027033115e-14 
  14.5265392595 2.53088389128e-14 
  14.6610868405 2.57162320113e-14 
  14.7968806269 2.61279457418e-14 
  14.9339321612 2.65383242111e-14 
  15.0722530931 2.70014170444e-14 
  15.2118551799 2.75167235188e-14 
  15.3527502878 2.80439600961e-14 
  15.4949503931 2.85852510554e-14 
   15.638467583  2.9152670647e-14 
  15.7833140565 2.97363163165e-14 
  15.9295021257 3.03343122497e-14 
  16.0770442167 3.09482042389e-14 
  16.2259528708 3.15786826748e-14 
  16.3762407452 3.22222178402e-14 
  16.5279206146 3.28765526885e-14 
   16.681005372 3.35172314572e-14 
  16.8355080296 3.41690437242e-14 
  16.9914417203 3.48335333851e-14 
  17.1488196987 3.54295453934e-14 
   17.307655342 3.60294266242e-14 
  17.4679621513  3.6633116384e-14 
  17.6297537529 3.71444872521e-14 
  17.7930438992 3.76351388128e-14 
    17.95784647 3.81218073502e-14 
  18.1241754737 3.85232126372e-14 
  18.2920450485 3.88945821358e-14 
  18.4614694632 3.92584976908e-14 
  18.6324631193 3.95491407921e-14 
  18.8050405513 3.98165723513e-14 
  18.9792164284 4.00786818328e-14 
  19.1550055557 4.02986926555e-14 
  19.3324228756 4.05119892391e-14 
  19.5114834685  4.0722930149e-14 
  19.6922025548 4.09190617992e-14 
  19.8745954958 4.11097272242e-14 
  20.0586777951 4.13006430106e-14 
  20.2444650998 4.14973740109e-14 
   20.431973202 4.16967755335e-14 
    20.62121804 4.18989765524e-14 
  20.8122156999  4.2104098455e-14 
  21.0049824165 4.22757705493e-14 
  21.1995345754 4.24297845739e-14 
  21.3958887134 4.25858545972e-14 
   21.594061521 4.27438137115e-14 
   21.794069843 4.29039577985e-14 
  21.9959306803  4.3066123744e-14 
  22.1996611912 4.32304215552e-14 
   22.405278693 4.33968664057e-14 
  22.6128006634  4.3565583476e-14 
  22.8222447419 4.37364893124e-14 
  23.0336287314 4.39096104685e-14 
  23.2469705999 4.40850607447e-14 
  23.4622884814 4.42628666947e-14 
  23.6796006783 4.44429524514e-14 
  23.8989256623 4.46255342359e-14 
  24.1202820762 4.48105323878e-14 
  24.3436887354  4.4998083468e-14 
  24.5691646298 4.51881040225e-14 
   24.796728925 4.53807192322e-14 
  25.0264009642 4.55759594439e-14 
  25.2582002696 4.57738474176e-14 
  25.4921465445 4.59744135003e-14 
  25.7282596745 4.61123209377e-14 
  25.9665597293  4.6141192166e-14 
  26.2070669648 4.61702796156e-14 
  26.4498018243 4.61996895004e-14 
  26.6947849403 4.62294256138e-14 
  26.9420371368 4.62593817418e-14 
  27.1915794304  4.6289660305e-14 
  27.4434330323 4.63202688901e-14 
  27.6976193504 4.63511999105e-14 
  27.9541599907 4.63823585321e-14 
  28.2130767594 4.64139420096e-14 
  28.4743916647 4.64457492951e-14 
  28.7381269185 4.64778903958e-14 
  29.0043049386 4.65103577251e-14 
  29.2729483504 4.65431550763e-14 
  29.5440799888 4.65761800288e-14 
  29.8177229002 4.66096336306e-14 
  30.0939003445 4.66434248409e-14 
   30.372635797 4.66775422798e-14 
  30.6539529506  4.6711993534e-14 
  30.9378757173 4.67467786035e-14 
  31.2244282309 4.67820037022e-14 
  31.5136348487 4.67865215885e-14 
  31.8055201533 4.65548044709e-14 
  32.1001089554 4.63219986602e-14 
  32.3974262953 4.60882293373e-14 
  32.6974974451 4.58535230555e-14 
  33.0003479113 4.56178153279e-14 
  33.3060034362 4.53811213279e-14 
  33.6144900011 4.51435700296e-14 
  33.9258338274  4.4905002112e-14 
  34.2400613797 4.46655313758e-14 
  34.5571993676 4.44251919612e-14 
  34.8772747481 4.41839193811e-14 
   35.200314728 4.39416339752e-14 
  35.5263467658 4.36985709314e-14 
  35.8553985746 4.34545595487e-14 
  36.1874981241 4.32097288012e-14 
  36.5226736431 4.29639231614e-14 
  36.8609536217 4.27173550572e-14 
  37.2023668141 4.24699600015e-14 
  37.5469422407 4.22215938467e-14 
  37.8947091907 4.19725524747e-14 
  38.2456972247 4.17226044908e-14 
  38.5999361768 4.14718674889e-14 
  38.9574561578 4.10622685541e-14 
  39.3182875571 4.06211164887e-14 
  39.6824610457 4.01807268878e-14 
  40.0500075787 3.97410997513e-14 
   40.420958398 3.93022274925e-14 
  40.7953450345 3.88642732257e-14 
  41.1731993116 3.84271497038e-14 
  41.5545533472 3.79909403805e-14 
  41.9394395567 3.75558045769e-14 
  42.3278906557 3.71216550456e-14 
  42.7199396631 3.66885828273e-14 
  43.1156199032 3.62565765419e-14 
  43.5149650093 3.58257272299e-14 
   43.918008926 3.53961069651e-14 
  44.3247859124 3.49677233341e-14 
   44.735330545 3.45406597909e-14 
  45.1496777204 3.41149125419e-14 
  45.5678626584 3.36904929674e-14 
  45.9899209052 3.32675565949e-14 
  46.4158883361 3.28461034243e-14 
  46.8458011587 3.24260727621e-14 
   47.279695916 3.20076884161e-14 
  47.7176094894 3.15526887066e-14 
  48.1595791019 3.10681141014e-14 
  48.6056423214 3.05865457303e-14 
  49.0558370637 3.01081467077e-14 
  49.5102015956 2.96328696167e-14 
  49.9687745385 2.91608036011e-14 
