#   wa_calc,   carbon,     silicate,     factor
     0.091   2.8112-143   2.3039-294   2.8112-143
     3.797   1.3161E-22   3.6018E-24   1.3521E-22
     3.842   1.2908E-22   3.5596E-24   1.3264E-22
     3.886   1.2705E-22   3.5180E-24   1.3057E-22
     3.932   1.2539E-22   3.4772E-24   1.2887E-22
     3.978   1.2404E-22   3.4364E-24   1.2748E-22
     4.024   1.2295E-22   3.3955E-24   1.2634E-22
     4.071   1.2207E-22   3.3546E-24   1.2542E-22
     4.119   1.2138E-22   3.3137E-24   1.2470E-22
     4.167   1.2088E-22   3.2711E-24   1.2415E-22
     4.216   1.2054E-22   3.2283E-24   1.2377E-22
     4.265   1.2036E-22   3.1859E-24   1.2355E-22
     4.315   1.2036E-22   3.1440E-24   1.2350E-22
     4.365   1.2052E-22   3.1025E-24   1.2362E-22
     4.416   1.2087E-22   3.0616E-24   1.2393E-22
     4.468   1.2142E-22   3.0222E-24   1.2444E-22
     4.520   1.2219E-22   2.9840E-24   1.2517E-22
     4.573   1.2322E-22   2.9468E-24   1.2616E-22
     4.626   1.2454E-22   2.9104E-24   1.2745E-22
     4.680   1.2622E-22   2.8749E-24   1.2910E-22
     4.735   1.2836E-22   2.8401E-24   1.3120E-22
     4.790   1.3107E-22   2.8065E-24   1.3388E-22
     4.846   1.3457E-22   2.7744E-24   1.3735E-22
     4.903   1.3922E-22   2.7433E-24   1.4196E-22
     4.960   1.4566E-22   2.7131E-24   1.4837E-22
     5.018   1.5515E-22   2.6841E-24   1.5783E-22
     5.077   1.7056E-22   2.6571E-24   1.7321E-22
     5.136   1.9897E-22   2.6318E-24   2.0160E-22
     5.196   2.5628E-22   2.6081E-24   2.5889E-22
     5.257   3.3316E-22   2.5861E-24   3.3575E-22
     5.318   3.0807E-22   2.5657E-24   3.1064E-22
     5.380   2.5581E-22   2.5468E-24   2.5836E-22
     5.443   2.4389E-22   2.5294E-24   2.4642E-22
     5.507   2.6290E-22   2.5133E-24   2.6541E-22
     5.571   3.1806E-22   2.4995E-24   3.2056E-22
     5.636   4.3312E-22   2.4872E-24   4.3561E-22
     5.702   5.4224E-22   2.4767E-24   5.4472E-22
     5.769   4.7745E-22   2.4677E-24   4.7991E-22
     5.836   4.2660E-22   2.4603E-24   4.2906E-22
     5.904   4.5611E-22   2.4542E-24   4.5857E-22
     5.973   5.6957E-22   2.4499E-24   5.7202E-22
     6.043   8.3207E-22   2.4465E-24   8.3451E-22
     6.114   1.4616E-21   2.4439E-24   1.4640E-21
     6.185   2.7460E-21   2.4420E-24   2.7484E-21
     6.257   2.7316E-21   2.4336E-24   2.7340E-21
     6.331   1.5123E-21   2.4292E-24   1.5147E-21
     6.404   9.6085E-22   2.4200E-24   9.6327E-22
     6.479   7.7660E-22   2.4093E-24   7.7901E-22
     6.555   7.4517E-22   2.3976E-24   7.4757E-22
     6.632   7.7322E-22   2.3837E-24   7.7560E-22
     6.709   7.8959E-22   2.3707E-24   7.9197E-22
     6.787   7.6769E-22   2.3558E-24   7.7004E-22
     6.867   7.4381E-22   2.3421E-24   7.4615E-22
     6.947   7.5245E-22   2.3311E-24   7.5478E-22
     7.028   8.0351E-22   2.3294E-24   8.0584E-22
     7.110   8.9816E-22   2.3378E-24   9.0050E-22
     7.193   1.0387E-21   2.3683E-24   1.0411E-21
     7.277   1.2346E-21   2.4420E-24   1.2371E-21
     7.362   1.5161E-21   2.5489E-24   1.5186E-21
     7.449   1.9553E-21   2.7450E-24   1.9580E-21
     7.536   2.5770E-21   3.0388E-24   2.5801E-21
     7.624   2.9224E-21   3.4809E-24   2.9259E-21
     7.713   2.7859E-21   4.0799E-24   2.7900E-21
     7.803   2.7072E-21   4.8509E-24   2.7121E-21
     7.894   2.4235E-21   5.8186E-24   2.4293E-21
     7.986   1.8494E-21   6.9767E-24   1.8564E-21
     8.079   1.3708E-21   8.3386E-24   1.3791E-21
     8.174   1.0958E-21   9.8668E-24   1.1056E-21
     8.269   9.7370E-22   1.1535E-23   9.8524E-22
     8.366   9.4002E-22   1.2966E-23   9.5298E-22
     8.464   1.0043E-21   1.4219E-23   1.0185E-21
     8.563   1.1803E-21   1.5392E-23   1.1957E-21
     8.663   1.0943E-21   1.6663E-23   1.1110E-21
     8.764   7.6286E-22   1.8157E-23   7.8102E-22
     8.866   5.4043E-22   1.9960E-23   5.6039E-22
     8.970   4.1992E-22   2.1921E-23   4.4184E-22
     9.075   3.5040E-22   2.3911E-23   3.7431E-22
     9.181   3.0671E-22   2.5672E-23   3.3238E-22
     9.288   2.7735E-22   2.6956E-23   3.0430E-22
     9.397   2.5678E-22   2.7620E-23   2.8440E-22
     9.506   2.4203E-22   2.7660E-23   2.6969E-22
     9.617   2.3146E-22   2.7215E-23   2.5868E-22
     9.730   2.2410E-22   2.6456E-23   2.5056E-22
     9.844   2.1940E-22   2.5671E-23   2.4507E-22
     9.959   2.1706E-22   2.4938E-23   2.4200E-22
    10.075   2.1710E-22   2.4297E-23   2.4139E-22
    10.193   2.1968E-22   2.3683E-23   2.4337E-22
    10.312   2.2549E-22   2.2960E-23   2.4845E-22
    10.432   2.3583E-22   2.1979E-23   2.5780E-22
    10.554   2.5398E-22   2.0795E-23   2.7478E-22
    10.677   2.8547E-22   1.9566E-23   3.0503E-22
    10.802   3.2639E-22   1.8483E-23   3.4488E-22
    10.928   4.1481E-22   1.7543E-23   4.3235E-22
    11.056   6.3639E-22   1.6701E-23   6.5309E-22
    11.185   1.4944E-21   1.5869E-23   1.5103E-21
    11.316   1.5899E-21   1.5086E-23   1.6050E-21
    11.448   1.0404E-21   1.4372E-23   1.0548E-21
    11.582   6.7495E-22   1.3730E-23   6.8868E-22
    11.717   5.7275E-22   1.3103E-23   5.8585E-22
    11.854   6.0883E-22   1.2439E-23   6.2127E-22
    11.993   6.5725E-22   1.1786E-23   6.6903E-22
    12.133   6.0290E-22   1.1160E-23   6.1406E-22
    12.275   5.6511E-22   1.0613E-23   5.7572E-22
    12.418   6.3377E-22   1.0112E-23   6.4388E-22
